Ticker,Company_Name,Sector,Industry,Market_Cap,Country
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,40748302336.0,United States
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,136158953472.0,United States
PARA,Unknown,Unknown,Unknown,,Unknown
PAYX,"Paychex, Inc.",Technology,Software - Application,40470093824.0,United States
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,57625423872.0,United States
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,32836782080.0,United States
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,39308378112.0,United States
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,199378731008.0,United States
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,146520686592.0,United States
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,19354122240.0,United States
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,323782737920.0,United States
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,130861023232.0,United States
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,111317024768.0,United States
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,24638519296.0,United States
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,17706924032.0,United States
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,117659582464.0,United States
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,230833946624.0,United States
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,77663993856.0,United States
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,17089833984.0,United Kingdom
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,10451365888.0,United States
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,22653509632.0,United States
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,25099352064.0,United States
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,39181807616.0,United States
PSA,Public Storage,Real Estate,REIT - Industrial,47296053248.0,United States
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,56197517312.0,United States
PTC,PTC Inc.,Technology,Software - Application,20893046784.0,United States
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,69054078976.0,United States
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,58392727552.0,United States
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,189159505920.0,United States
QRVO,"Qorvo, Inc.",Technology,Semiconductors,8283291136.0,United States
